site,C,M,G,T,isvm,weight_scheme,safety_score,sampleability_score,deliverability_score,safety_pass,deliverability_pass,engineering_pass,combined
L07,0.5833333333333334,0.6333333333333333,0.5375,0.5,0.5766666666666667,priority,0.47871428571428576,0.5380952380952381,0.4,True,True,True,1.9934761904761902
L08,0.5833333333333334,0.6333333333333333,0.5375,0.5,0.5766666666666667,priority,0.4960714285714286,0.638095238095238,0.29,True,True,True,2.0008333333333335
L05,0.5833333333333334,0.6333333333333333,0.525,0.5,0.5741666666666666,priority,0.3578571428571429,0.4380952380952381,0.4,True,True,True,1.7701190476190476
L12,0.5833333333333334,0.6333333333333333,0.525,0.5,0.5741666666666666,priority,0.33499999999999996,0.4380952380952381,0.4,True,True,True,1.7472619047619045
M01,0.6,0.6333333333333333,0.4625,0.5,0.5675,priority,0.34285714285714286,0.42142857142857143,0.4,False,True,False,1.7317857142857145
M03,0.5833333333333334,0.6333333333333333,0.475,0.5,0.5641666666666666,priority,0.39821428571428574,0.5214285714285715,0.4,True,True,True,1.8838095238095236
M04,0.5833333333333334,0.6333333333333333,0.475,0.5,0.5641666666666666,priority,0.42321428571428565,0.5380952380952381,0.4,True,True,True,1.9254761904761901
