site,scale,radius_m,n_px,slope_median_deg,slope_p90_deg,slope_max_deg,elev_std_m
Nightingale,ROI,2.12,107,12.804391860961914,15.534899711608887,18.27660369873047,0.251113656202734
Nightingale,25m,25.0,14645,14.9457368850708,24.990232467651367,42.02434158325195,2.2734171134924397
Osprey,ROI,1.51,29,17.311073303222656,22.464637756347656,23.107086181640625,0.24312946885176864
Osprey,25m,25.0,8354,17.866374969482422,28.394718170166016,46.40986251831055,3.6038288281609754
Kingfisher,ROI,3.875,202,13.213728904724121,20.929899215698242,27.97124481201172,0.474553113526204
Kingfisher,25m,25.0,8347,14.873616218566895,24.26761245727539,44.347286224365234,2.953899603656971
Sandpiper,ROI,4.375,363,9.372032165527344,12.443401336669922,15.897275924682617,0.3424631017022973
Sandpiper,25m,25.0,11987,12.30500602722168,22.45902442932129,60.71629333496094,1.4847991450624132
