site,C,M,G,T,isvm,weight_scheme,safety_score,sampleability_score,deliverability_score,safety_pass,deliverability_pass,engineering_pass,combined
Nightingale,0.6933333333333334,0.775,0.725,1.0,0.7983333333333333,equal,0.6107142857142858,0.861904761904762,0.56,True,True,True,2.830952380952381
Sandpiper,0.6366666666666666,0.6833333333333333,0.5125,0.5,0.5831249999999999,equal,0.4653571428571428,0.6047619047619048,0.51,True,True,True,2.1632440476190475
Kingfisher,0.6133333333333333,0.6833333333333333,0.48750000000000004,0.5,0.5710416666666667,equal,0.4503571428571428,0.6214285714285714,0.54,True,True,True,2.182827380952381
Osprey,0.6133333333333333,0.6833333333333333,0.4125,0.5,0.5522916666666666,equal,0.44785714285714284,0.5380952380952381,0.6000000000000001,True,True,True,2.1382440476190476
