site,lat_deg,lon_deg,footprint_radius_m,kernel_max,n_pixels_alpha_ge_0p5,area_alpha_ge_0p5_m2,m_per_px_lon,m_per_px_lat
Nightingale,56.05,42.05,25.0,0.9992326969452828,1073,2739.213451305867,1.1940230134491525,2.1380283336930535
Osprey,11.62,88.63,25.0,0.9995507986454857,612,2740.2172263548227,2.0942094440332926,2.1380283336930535
Kingfisher,11.49,55.49,25.0,0.9983496811208921,612,2741.4886736021376,2.0951811468630197,2.1380283336930535
Sandpiper,-46.98,321.34,25.0,0.99917138562747,876,2731.9758785574595,1.4586775470402347,2.1380283336930535
