site,lat_deg,lon_deg,organic_abundance,volatile_abundance,organic_silicate_ratio,ch2_ch3,carbon_content_pct,mineral_phyllo,mineral_carbonate,mineral_sulfate,mineral_oxide,mineral_silicate,mineral_amorphous,amorphous_fraction,hydration_depth,space_weathering_proxy,crater_freshness,activity_level,psfd_class,brittle_deformation,geologic_diversity,temp_rel_global,tmax_k,slope_deg,boulder_coverage,roughness,frac_le2cm,min_particle_cm,max_particle_cm,tagsam_tilt_deg,target_radius_m,nav_error_m,source,confidence
Nightingale,56.05,42.05,0.70,0.70,0.60,0.80,5.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.80,0.30,recent,none,fine,1,0.60,colder,300,5.0,0.10,0.30,0.80,0.30,2.0,3.0,8.0,1.0,Enos2020;Walsh2019;PSFD_paper;partly estimate,medium
Osprey,11.62,88.62,0.60,0.60,0.50,0.90,4.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.70,0.50,paleo,none,coarse,0.5,0.50,average,340,6.0,0.12,0.40,0.50,0.30,5.0,4.0,10.0,1.0,Enos2020;PSFD_paper;partly estimate,medium
Kingfisher,8.20,79.50,0.60,0.60,0.50,0.90,4.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.70,0.50,paleo,none,mix,0.5,0.50,average,335,6.0,0.13,0.40,0.55,0.30,4.0,4.0,8.0,1.2,PSFD_paper;partly estimate,low
Sandpiper,41.00,241.40,0.60,0.65,0.55,0.85,4.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.70,0.40,paleo,none,mix,0.5,0.50,average,325,6.0,0.14,0.40,0.50,0.30,4.0,4.0,7.0,1.3,PSFD_paper;partly estimate,low
