site,C,M,G,T,isvm,safety_score,sampleability_score,deliverability_score,combined
Nightingale,0.6759999999999999,0.7694444444444444,0.75,0.75,0.7299333333333333,0.6107142857142858,0.861904761904762,0.56,2.762552380952381
Kingfisher,0.588,0.7194444444444446,0.4083333333333334,0.325,0.5520499999999999,0.4503571428571428,0.6214285714285714,0.54,2.1638357142857143
Sandpiper,0.6220000000000001,0.7194444444444446,0.425,0.375,0.5747833333333334,0.4653571428571428,0.6047619047619048,0.51,2.154902380952381
Osprey,0.588,0.7194444444444446,0.35833333333333334,0.3,0.5383,0.44785714285714284,0.5380952380952381,0.6000000000000001,2.124252380952381
