site,C,M,G,T,isvm,safety_score,sampleability_score,deliverability_score,combined
L08,0.5700000000000001,0.6944444444444445,0.4583333333333333,0.3,0.5445000000000001,0.4960714285714286,0.638095238095238,0.29,1.9686666666666668
L07,0.5700000000000001,0.6944444444444445,0.45,0.3,0.5428333333333334,0.47871428571428576,0.5380952380952381,0.4,1.9596428571428572
M04,0.5700000000000001,0.6944444444444445,0.4083333333333334,0.3,0.5345000000000001,0.42321428571428565,0.5380952380952381,0.4,1.8958095238095236
M03,0.5700000000000001,0.6944444444444445,0.4083333333333334,0.3,0.5345000000000001,0.39821428571428574,0.5214285714285715,0.4,1.854142857142857
L05,0.5700000000000001,0.6944444444444445,0.43333333333333335,0.3,0.5395000000000001,0.3578571428571429,0.4380952380952381,0.4,1.7354523809523812
L12,0.5700000000000001,0.6944444444444445,0.43333333333333335,0.3,0.5395000000000001,0.33499999999999996,0.4380952380952381,0.4,1.712595238095238
M01,0.58,0.6944444444444445,0.39166666666666666,0.3,0.5346666666666667,0.34285714285714286,0.42142857142857143,0.4,1.698952380952381
