site,organic_abundance,ch2_ch3,carbon_content_pct,mineral_classes_detected,hydration_depth,space_weathering_proxy,crater_freshness,activity_level,psfd_class,temp_rel_global,tmax_k,slope_deg,boulder_coverage,roughness,frac_le2cm,max_particle_cm,tagsam_tilt_deg,target_radius_m,nav_error_m,source,confidence
L08-E1,0.65,0.8,4.5,4.0,0.65,0.25,recent,none,fine,average,335,3.0,0.05,0.25,0.7,2.0,2.0,3.0,2.7,JAXA touchdown site;Morota2020;partly estimate,medium
L08-B,0.7,0.7,5.0,4.0,0.7,0.2,recent,recent,mix,average,340,8.0,0.16,0.5,0.5,5.0,5.0,3.0,2.7,Kikuchi2022;partly estimate,medium
